name,M,N,K,run,dtype,iterations,pair,baseline_ms,h256_ms,overhead_pct
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,7,28.452800,27.721400,-2.5706
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,8,28.443100,27.169300,-4.4784
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,9,27.915400,27.948000,0.1168
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,10,28.511900,27.869700,-2.2524
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,11,28.386800,27.658900,-2.5642
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,12,27.843700,27.272200,-2.0525
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,13,28.153200,27.692800,-1.6353
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,14,27.863400,27.893600,0.1084
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,15,27.331700,27.906600,2.1034
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,16,28.418700,27.217000,-4.2286
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,17,28.330800,28.165300,-0.5842
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,18,28.458300,27.661700,-2.7992
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,19,28.986800,27.448800,-5.3059
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,20,28.388700,27.991900,-1.3977
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,21,27.838500,27.447900,-1.4031
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,22,28.408000,27.442700,-3.3980
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,23,28.933300,26.465300,-8.5300
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,24,27.820600,27.447400,-1.3415
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,25,28.284800,27.653600,-2.2316
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,26,28.958300,27.706400,-4.3231
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,27,27.897700,26.912900,-3.5300
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,28,28.437800,27.391500,-3.6793
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,29,27.865100,27.233000,-2.2684
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,30,28.415300,27.417900,-3.5101
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,31,27.745800,27.929900,0.6635
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,32,28.463800,27.816000,-2.2759
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,33,28.397600,27.413400,-3.4658
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,34,28.411200,27.422300,-3.4807
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,35,27.478600,27.207900,-0.9851
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,36,26.380300,27.252400,3.3059
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,37,28.055700,27.399600,-2.3386
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,38,28.443800,27.357800,-3.8181
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,39,27.729500,27.467100,-0.9463
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,40,28.422800,27.457700,-3.3955
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,41,27.808800,28.345500,1.9300
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,42,27.868000,28.490900,2.2352
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,43,27.405000,27.986300,2.1211
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,44,27.904100,27.453600,-1.6145
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,45,27.883500,27.011500,-3.1273
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,46,28.455000,27.903200,-1.9392
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,47,28.011400,27.444400,-2.0242
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,48,27.856600,27.835500,-0.0757
qwen21_ffn_down,4096,4096,12288,sweep,bf16,10,49,28.467900,27.711600,-2.6567
